circuit,n_qubits,family,depth_bucket,decision_class,rec_key,fastest_key,is_fastest,overhead,source
LinCluster-4-b0,4,LinearCluster,,clifford,qpanda/statevector,qpanda/density_matrix,False,1.04,local
LinCluster-8-b0,8,LinearCluster,,clifford,cupy/statevector,qpanda/density_matrix,False,71.35,local
GHZ-4-b0,4,GHZ,,clifford,qpanda/statevector,qpanda/density_matrix,False,1.08,local
QFT-4-b0,4,QFT,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.19,local
LinCluster-16-b0,16,LinearCluster,,clifford,qiskit/stabilizer,qiskit/stabilizer,True,1.0,local
QFT-8-b0,8,QFT,,general,qpanda/statevector,qpanda/density_matrix,False,1.04,local
LinCluster-4-b1,4,LinearCluster,,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
LinCluster-8-b1,8,LinearCluster,,clifford,cupy/statevector,native/statevector,False,2.57,local
GHZ-4-b1,4,GHZ,,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
GHZ-8-b1,8,GHZ,,clifford,cupy/statevector,qpanda/density_matrix,False,16.85,local
LinCluster-16-b1,16,LinearCluster,,clifford,qiskit/stabilizer,qiskit/statevector,False,1.84,local
QFT-4-b1,4,QFT,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.02,local
QFT-8-b1,8,QFT,,general,qpanda/statevector,qpanda/density_matrix,False,1.03,local
GHZ-16-b1,16,GHZ,,clifford,qiskit/stabilizer,qiskit/stabilizer,True,1.0,local
LinCluster-12-b1,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,48.98,local
Grover-4-b1,4,Grover,,clifford,qpanda/statevector,native/statevector,False,1.09,local
Grover-6-b1,6,Grover,,clifford,qpanda/statevector,native/statevector,False,1.34,local
Grover-8-b1,8,Grover,,clifford,native/statevector,qpanda/density_matrix,False,216.6,local
Grover-10-b1,10,Grover,,clifford,native/statevector,qpanda/density_matrix,False,387.28,local
GHZ-12-b1,12,GHZ,,clifford,native/statevector,qpanda/density_matrix,False,24.85,local
Grover-12-b1,12,Grover,,clifford,qpanda/statevector,qiskit/statevector,False,13.81,local
QPE-4-b1,5,QPE,,low_tw,qpanda/statevector,native/statevector,False,1.0,local
QPE-6-b1,7,QPE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QPE-8-b1,9,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.09,local
QPE-10-b1,11,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,3.12,local
QFT-16-b1,16,QFT,,general,qpanda/statevector,qpanda/statevector,True,1.0,local
Grover-16-b1,16,Grover,,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-4-b1,4,VQE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.07,local
VQE-6-b1,6,VQE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.08,local
VQE-8-b1,8,VQE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
VQE-10-b1,10,VQE,,low_tw,native/statevector,qpanda/statevector,False,77.78,local
VQE-12-b1,12,VQE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.86,local
VQE-16-b1,16,VQE,,low_tw,qpanda/statevector,qiskit/statevector,False,1.3,local
QAOA-4-b1,4,QAOA,,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.05,local
QAOA-6-b1,6,QAOA,,low_tw,qpanda/statevector,native/statevector,False,1.2,local
QAOA-8-b1,8,QAOA,,low_tw,native/statevector,qpanda/statevector,False,43.86,local
QAOA-10-b1,10,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,227.64,local
QPE-12-b1,13,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,6.42,local
QAOA-16-b1,16,QAOA,,low_tw,qiskit/statevector,qpanda/statevector,False,1.57,local
RandCliff-8-shallow-b1,8,RandomClifford,shallow,clifford,native/statevector,qpanda/density_matrix,False,252.57,local
RandCliff-8-medium-b1,8,RandomClifford,medium,clifford,native/statevector,qpanda/density_matrix,False,160.62,local
QAOA-12-b1,12,QAOA,,low_tw,qiskit/statevector,qpanda/statevector,False,1.26,local
QPE-16-b1,17,QPE,,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
QFT-12-b1,12,QFT,,general,qpanda/statevector,qpanda/statevector,True,1.0,local
RandCliff-16-shallow-b1,16,RandomClifford,shallow,clifford,qpanda/statevector,qiskit/stabilizer,False,4.81,local
RandNonCliff-8-shallow-b1,8,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.32,local
RandNonCliff-8-medium-b1,8,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.04,local
RandCliff-12-shallow-b1,12,RandomClifford,shallow,clifford,qiskit/statevector,qpanda/statevector,False,1.59,local
RandCliff-12-medium-b1,12,RandomClifford,medium,clifford,qiskit/statevector,qpanda/density_matrix,False,2.25,local
RandCliff-16-medium-b1,16,RandomClifford,medium,clifford,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-16-shallow-b1,16,RandomNonClifford,shallow,low_tw,qpanda/statevector,qiskit/statevector,False,56.24,local
RandNonCliff-16-medium-b1,16,RandomNonClifford,medium,low_tw,qpanda/statevector,qiskit/statevector,False,2.36,local
RandNonCliff-12-shallow-b1,12,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/statevector,True,1.0,local
RandNonCliff-12-medium-b1,12,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/density_matrix,False,1.65,local
